country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g1_0263.tif,1320,20,0.0736,7.36,0.283,0,2.107
india,g1_0264.tif,1321,55,0.2025,20.25,0.24,0,3.034
india,g1_0264.tif,1322,27,0.0994,9.94,0.3333,0,1.82
india,g1_0264.tif,1323,38,0.1399,13.99,0.3896,0,3.034
india,g1_0264.tif,1324,30,0.1104,11.04,0.4225,0,2.107
india,g1_0264.tif,1325,46,0.1693,16.93,0.3765,0,3.231
india,g1_0474.tif,2371,10,0.0368,3.68,0.0732,0,1.82
india,g1_0474.tif,2372,38,0.1399,13.99,0.2135,0,3.034
india,g1_0474.tif,2373,30,0.1104,11.04,0.2459,0,2.825
india,g1_0474.tif,2374,17,0.0626,6.26,0.112,0,1.82
india,g1_0474.tif,2375,21,0.0773,7.73,0.1,0,1.82
